Country Name,Indicator Name,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Turkiye,Exports of goods and services (% of GDP),8.236932034,11.86405139,12.47321262,15.60660269,15.86072288,13.31243772,15.58084042,18.65397042,16.20291575,13.36510285,13.84113011,14.39223573,13.67380285,21.36213121,19.8916075,21.54265814,24.58171768,20.66622987,18.8109125,19.8811989,27.18194188,25.10511902,23.0061779,23.62475321,21.87626756,22.39483394,21.88952569,23.56629093,23.37019915,21.19413332,22.99370125,24.36087552,23.79300951,25.2055417,24.53127734,23.08350913,26.03942234,31.15287804,32.59735458
Turkiye,Exports of goods and services (constant 2015 US$),,,,,,,25245425787,29894740962,29817327910,30757122543,31717083141,35206291908,37912049823,43667042919,47153649777,57508301177,68506106617,77639574549,69574238888,82657469319,86733994518,93795213115,1.01E+11,1.13E+11,1.23E+11,1.30E+11,1.39E+11,1.44E+11,1.39E+11,1.41E+11,1.60E+11,1.83E+11,1.92E+11,2.05E+11,2.12E+11,2.08E+11,2.34E+11,2.55E+11,2.66E+11
Turkiye,"External debt stocks, total (DOD, current US$)",19235548687,19715948885,20324049084,21607735275,26012647741,32933723354,40943579865,40992842916,41577128630,49424152195,50873488640,56553858154,68604763966,66249185120,73781102424,80624816759,84719917065,96953865166,1.02E+11,1.17E+11,1.13E+11,1.30E+11,1.44E+11,1.60E+11,1.74E+11,2.11E+11,2.60E+11,2.91E+11,2.79E+11,3.01E+11,3.06E+11,3.39E+11,3.90E+11,4.06E+11,4.00E+11,4.09E+11,4.57E+11,4.46E+11,4.41E+11
Turkiye,High-technology exports (current US$),,,,,,,,,,,,,,,,,..,..,..,..,..,..,..,..,..,..,1855715222,1909881749,1568804082,1943251645,2202094010,2327204091,3782388263,4292918439,3872098674,3421633926,4068849590,3735725606,4280200438
Turkiye,Imports of goods and services (annual % growth),,,,,,,,-4.513629737,6.892767423,33.10911263,-5.284821001,10.91517097,35.78553262,-21.87577847,29.58416744,20.52417719,22.4382739,3.286715668,-3.408019795,21.7092381,-24.03027802,21.13008473,23.24930677,21.23146662,12.14211626,7.239166693,9.641389265,-2.760215764,-14.6617009,19.36516604,14.97768739,0.618577567,10.92074377,0.29931489,0.66240083,2.995930839,10.63507619,-6.181933282,-5.384183967
Turkiye,Military expenditure (% of general government expenditure),,,,,,,,,,,,,,,,,,,,9.229622736,8.121884471,9.185054507,8.501702986,7.728701143,7.430465274,6.877093466,6.577475985,6.381160439,6.523107426,6.334189004,6.121146482,5.884008436,5.669433348,5.661599236,5.461075788,5.88444833,6.143140735,7.291600209,7.704906598
Turkiye,"Official exchange rate (LCU per US$, period average)",0.000111219,0.000162553,0.000225457,0.000366678,0.000521983,0.000674512,0.000857214,0.001422346,0.002121679,0.002608642,0.004171816,0.006872423,0.010984628,0.029608676,0.045845061,0.081404892,0.151865,0.26072425,0.418782917,0.6252185,1.225588083,1.507226417,1.500885209,1.42553725,1.343583108,1.428453413,1.302930905,1.301521703,1.549959776,1.50284863,1.674954552,1.796000944,1.903768242,2.188542418,2.720008528,3.020134748,3.648132635,4.828370147,5.673819308
Turkiye,Trade (% of GDP),21.14162764,26.88092107,29.03105179,35.2801051,34.82697212,29.41445948,33.33828503,36.20683384,33.98366824,30.9429955,30.47601167,31.73736564,33.01708778,41.74585234,44.24263475,49.36931489,54.97032357,40.39541059,37.66492201,42.35443704,49.87147514,47.98239405,46.22509763,48.82583815,46.14235705,48.76287107,47.85081675,50.5482539,46.78706695,46.69446523,53.30417564,52.83080266,52.5272988,53.76630117,51.0885436,48.32818623,55.76216875,62.55436943,62.61188072
Japan,"Government expenditure on education, total (% of GDP)",5.064400196,5.046060085,4.824269772,,,,5.596519947,5.556049824,5.36714983,,,,3.429039955,3.635669947,3.4021101,,,3.297970057,3.378129959,3.460119963,3.400820017,3.408989906,3.466629982,3.426110029,3.314939976,3.276679993,3.279340029,3.27241993,,3.599519968,3.605279922,3.64741993,3.624969959,3.551589966,,3.146430016,3.130579948,3.077820063,
Japan,Exports of goods and services (% of GDP),14.12108067,13.92073805,13.29738618,14.39325451,13.89321098,10.91247822,9.937596069,9.574755094,10.11212202,10.22039931,9.786921445,9.693351739,9.079611784,8.839827126,8.816470433,9.315745084,10.38369564,10.3738061,9.805539002,10.4634942,10.07679996,10.85544561,11.46580158,12.78626462,13.81589572,15.65737405,17.28912737,17.23554338,12.41956575,14.91850345,14.77446226,14.41477461,15.78415673,17.41865535,17.43675984,16.05796924,17.5914391,18.32601765,17.44537783
Japan,Exports of goods and services (constant 2015 US$),1.76E+11,1.79E+11,1.88E+11,2.16E+11,2.28E+11,2.17E+11,2.17E+11,2.32E+11,2.54E+11,2.73E+11,2.87E+11,3.01E+11,3.03E+11,3.17E+11,3.30E+11,3.46E+11,3.84E+11,3.75E+11,3.82E+11,4.32E+11,4.03E+11,4.35E+11,4.77E+11,5.46E+11,5.84E+11,6.45E+11,7.01E+11,7.12E+11,5.45E+11,6.81E+11,6.80E+11,6.81E+11,6.87E+11,7.51E+11,7.75E+11,7.88E+11,8.40E+11,8.71E+11,8.59E+11
Japan,"External debt stocks, total (DOD, current US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japan,High-technology exports (current US$),,,,,,,,,,,,,,,,,..,..,..,..,..,..,..,..,..,..,1.28E+11,1.30E+11,1.04E+11,1.30E+11,1.33E+11,1.29E+11,1.11E+11,1.07E+11,98249841614,99101203356,1.06E+11,1.11E+11,1.04E+11
Japan,Imports of goods and services (annual % growth),2.424150273,-0.575344444,-3.2295164,10.61487459,-2.578225138,4.263972355,9.373515439,18.99923989,17.80082467,8.164633718,-1.135529496,-0.686109841,-1.200496883,8.272813679,12.9907016,11.7673681,0.511726863,-6.803898397,3.702456236,9.562400674,1.16294738,0.78727942,3.393965213,8.50406015,5.945933211,4.704135626,2.270819174,0.732843712,-15.56032021,11.28551363,5.727995086,5.453191658,3.16904343,8.124892011,0.439964097,-1.175364557,3.306787319,3.813561895,0.988306807
Japan,Military expenditure (% of general government expenditure),,,,,,,,3.019653069,3.081249606,3.068641404,3.067417658,2.985262015,2.836239798,2.764298678,2.696417075,2.644164175,2.73328656,2.389846508,2.614180118,2.547278933,2.628349793,2.623441194,2.644840533,2.708568229,2.692572812,2.69156521,2.639443085,2.632027758,2.489860833,2.48734591,2.503420149,2.457050933,2.408109062,2.486559348,2.522908896,2.487821625,2.497316725,2.507554328,2.487071646
Japan,"Official exchange rate (LCU per US$, period average)",220.5358333,249.0766667,237.5116667,237.5225,238.5358333,168.5198333,144.6375,128.1516667,137.9644167,144.7925,134.7066667,126.6513333,111.1977858,102.2078058,94.05957917,108.7790567,120.9908625,130.9053007,113.906805,107.7654983,121.5289475,125.3880192,115.9334642,108.1925692,110.2182117,116.2993117,117.7535292,103.359494,93.57008909,87.779875,79.80701983,79.79045542,97.59565828,105.944781,121.0440257,108.7929,112.1661411,110.4231793,109.0096659
Japan,Trade (% of GDP),27.62887572,27.29324585,25.06018376,26.34061568,24.59605737,18.15123273,17.1065551,17.18564155,18.87254448,19.6633661,18.07479164,17.33107662,16.01561506,15.81030623,16.39010493,18.25386823,19.78351762,19.00318622,18.12563072,19.56237158,19.55960447,20.44712207,21.32612527,23.66435342,26.22995458,30.0163761,32.81657805,34.12947654,24.39016653,28.49847269,30.19496073,30.47091092,33.97876865,37.43143457,35.42740835,31.31024685,34.42321357,36.63206385,35.1798202
South Africa,"Government expenditure on education, total (% of GDP)",,,,,,,5.164330006,5.290589809,4.85255003,5.125790119,5.737349987,,5.886020184,5.297770023,,5.04734993,,,5.29117012,4.908810139,4.636179924,4.54569006,4.352099895,4.508979797,4.524499893,4.526519775,4.446670055,4.374249935,4.761189938,5.134970188,5.288980007,5.523230076,5.350719929,5.489779949,5.482850075,5.444240093,5.598670006,5.644010067,5.917709827
South Africa,Exports of goods and services (% of GDP),25.20339128,23.38758094,21.76785065,22.49874208,27.90288113,27.2476703,26.89137624,25.8024942,23.70684028,21.53854173,19.34081534,18.9551466,19.91436663,19.54933781,20.03786061,21.77474322,21.66059186,22.51927182,22.26921597,24.40430331,26.35666063,28.43116722,23.91527336,22.75751879,23.59976449,26.09824988,27.95896439,32.25467367,24.98274649,25.78341763,27.69814847,27.13914919,28.37928032,29.0006193,27.71363841,28.15608817,27.34007578,27.48858813,27.34218049
South Africa,Exports of goods and services (constant 2015 US$),34142047103,33239037857,32797415044,33671876838,37065023881,35697177410,37356772569,40408761872,41290125248,41110997828,40475660160,42698126377,47129783784,48301328923,53584240450,57444357267,60486457112,62449973115,63237497079,68494786027,70133784553,70827606084,70905003239,72914258731,79160981860,85068576290,91728013646,93149643698,77292015325,83257419389,85762171371,86716130377,89953221305,93233173167,96085897668,96477456202,96213845052,98916331260,95544702683
South Africa,"External debt stocks, total (DOD, current US$)",,,,,,,,,,,,,,21670999666,25357999879,26050000159,30633902796,26014665566,25719811079,26669342342,25683350245,35098086132,37929135088,42612889236,42352265583,56615273854,70956054578,72188313507,80018268050,1.08E+11,1.19E+11,1.48E+11,1.42E+11,1.42E+11,1.25E+11,1.44E+11,1.75E+11,1.74E+11,1.85E+11
South Africa,High-technology exports (current US$),,,,,,,,,,,,,,,,,..,..,..,..,..,..,..,..,..,..,1932918423,2087704742,1482818272,2504733129,2743376662,2860653058,2613566612,2806863732,2818226410,2397477037,2197945729,2091401857,1832830764
South Africa,Imports of goods and services (annual % growth),13.73558037,-17.36701104,-16.09223413,19.79905003,-14.03626677,-2.452128343,3.49417211,21.90889064,0.31819052,-5.836771632,2.142646589,5.347362092,7.017435752,16.09283273,16.79080834,8.710615134,5.385159253,2.013626912,-8.361797658,5.337551599,0.249889197,5.341588913,8.084819507,15.50786897,10.8792596,18.26111495,9.366345362,2.809097332,-17.65993545,10.79374151,11.83845782,3.86834044,4.038730712,-0.687039527,5.044861331,-4.133248425,1.5324306,3.244387494,0.473639826
South Africa,Military expenditure (% of general government expenditure),,,,,,,,,,,,,,,,,,,,5.504553497,5.88311127,6.159016318,5.776435655,5.335142007,4.911666439,4.67786712,4.333121676,3.996447537,3.828540204,3.548255699,3.573081137,3.61135823,3.555140984,3.485188867,3.338169633,3.246716754,3.158540733,2.966686882,2.768163881
South Africa,"Official exchange rate (LCU per US$, period average)",0.877578943,1.085815833,1.1141,1.4752775,2.228674999,2.285031666,2.036033333,2.2734675,2.6226775,2.587320833,2.761315,2.852014167,3.267741583,3.550798333,3.627085,4.299349167,4.607961667,5.528284167,6.109484167,6.939828333,8.609180833,10.54074667,7.564749167,6.4596925,6.359328333,6.771549167,7.045365,8.261223333,8.473674158,7.321221961,7.261132132,8.209968627,9.655056069,10.85265557,12.75893088,14.70961089,13.32380142,13.23392647,14.44842705
South Africa,Trade (% of GDP),52.19295563,47.14181569,40.25620213,43.39294129,47.94826638,46.64892792,44.97125413,45.85131225,42.69976535,38.21180092,34.88160926,34.3213535,35.69812435,37.11460917,39.47803378,42.19925173,42.30133443,44.03574534,42.25829602,46.22072174,49.17094519,53.46550163,45.72386257,45.64357522,47.4277814,53.76814127,57.12513914,65.9745238,49.58753533,50.40608716,54.63635044,55.58261719,58.87502763,59.49957406,56.72667614,55.8612575,53.53593183,54.50758358,54.15024625
